Not in Core,Source,List,Name,Flavor,Category,Frequency,Tier,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defense,Hit,Miss,Effect,Special,Boost,Key Ability,Secondary Ability,Tradition,Sources,Details,Maintain Action,Maintain Text
,Discipline,Spells of Ice and Fire,Blood Tell,Humans are 90% water. Humans are in a state of entropy which you can alter. This won’t look pretty.,Attack,Daily,19,"Arcane, Flux, Focus",Standard,Ranged,"5, one living creature",,,Dexterity,Reflex,"4d10 + Dexterity modifier [flux] damage, and the target is weakened and dazed (save ends). If the target dies, it explodes (which may make raising it from the dead more difficult).",Half damage and the target can still explode.,,,,,,,,,,
,Discipline,Spells of Ice and Fire,Ice Castle,"They say when you become an adult, you put away childish things; but when you can make a fort out of ice, some things will never change.",Utility,Daily,22,"Arcane, Ice",Standard and Move,Self,,,,,,,,"You create a single room structure out of ice, including furnishings if desired. The structure may be no more than sixteen squares in area and up to four squares tall. It can have as many entrances and exits as you desire. If the structure is constructed in an area below freezing, it will persist indefinitely: otherwise, it will persist for 24 hours before melting.",,,,,,,,Standard and Move,"Create another room, or expand the size of an existing one."
,Discipline,Starfall,Chapter,,,,0,,,,,,,,,,,,,,Dexterity,Intelligence,Martial,Reaper (class),"You are a one-person siege weapon, firing down rains of arrows that force your foes to duck for cover.",,
,Discipline,Starfall,Attack of Necessity,"Out of options, become a hero.",Attack,At-Will,1,"Martial, Weapon",Standard,Near,"arc 3, all creatures",,,Dexterity,Reflex,"1dW damage, and the target is pushed to the nearest empty square outside of the blast. If the target cannot move to the nearest empty square, the target takes additional damage equal to your Dexterity modifier.  
*Level 21:* 2dW damage.",,,"If you do not move this turn, arc 4 instead.",,,,,,,,
,Discipline,Starfall,Micro Burst,Your shots are more to impede enemies than kill them.,Attack,At-Will,1,"Martial, Weapon",Standard,Far,"burst 1 within weapon range, all creatures you can see",,,Dexterity,Reflex,1 damage and the target is slowed until the start of your next turn.,,,"If you do not move this turn, your Dexterity modifier in damage instead.",,,,,,,,
,Discipline,Starfall,Potential Push,The power of your attack sends the enemy tumbling back.,Attack,At-Will,1,"Martial, Weapon",Standard,Ranged,"weapon, one creature",,,Dexterity,AC,"1dW + Dexterity modifier damage, and the target is pushed 1 square. If the target cannot be pushed because of an obstruction or difficult terrain, it takes additional damage equal to your Intelligence modifier.  
*Level 21:* 2dW + Dexterity modifier damage.",,,"If you do not move this turn, the target is pushed 2 squares instead of 1 (and suffers the indicated damage if it cannot be pushed at least 2 squares).",,,,,,,,
,Discipline,Starfall,Rapid Shots,You shoot towards an area.,Attack,At-Will,1,"Martial, Weapon",Standard,Far,"wall 3 within weapon range, all creatures in wall you can see",,,Dexterity,Reflex,"1dW damage.  
*Level 21:* 2dW damage.",,,"If you do not move this turn, wall 4 instead of a wall 3.",,,,,,,,
,Discipline,Starfall,Focused Shot,You make a continuous stream of attacks against a single target. ,Attack,Encounter,1,"Consistent, Martial, Weapon",Standard,Ranged,"weapon, one creature",,,Dexterity,AC,2dW + Dexterity modifier damage.,,,"If you do not move this turn, the target is also slowed or weakened (your choice) until the start of your next turn.",,,,,,,,
,Discipline,Starfall,Pinning Shot,Your shots force an enemy down or to cover. ,Attack,Encounter,1,"Martial, Weapon",Standard,Ranged,"weapon, one creature",,,Dexterity,AC,"1dW + Dexterity modifier damage, and the target is slowed until the start of your next turn.",,,"If you do not move this turn, the target is immobile instead of slowed.",,,,,,,Standard,Repeat the attack against the same target. You can maintain only once.
,Discipline,Starfall,Shot on the Run,You lay down a line of shots as you make a dash across the enemy’s flank.,Attack,Daily,1,"Martial, Weapon",Standard,Far,"wall 5 within weapon range, all creatures in wall you can see",,,Dexterity,AC,1dW + Dexterity modifier damage.,Half damage.,"Before the attack, you can run, shift, or walk as a normal move action; if you are wielding a weapon that normally incurs attack penalties when moving, this movement does not inflict those penalties. ","If you do not move this turn, wall 6.",,,,,,,,
,Discipline,Starfall,Wildfire,There’s too many of them. You keep the arrows coming and plow a road.,Attack,Daily,1,"Martial, Weapon",Move and Standard,Near,"arc 6, all creatures",,,Dexterity,Reflex,"1 damage, and the target is knocked prone and dazed until the start of your next turn.",The target is dazed until the start of your next turn.,,"If you do not move this turn, arc 7.",,,,,,,,
,Discipline,Starfall,Barbed Arrows,"You may have loosed a storm of arrows, but each one cuts as deeply as if it were carefully aimed. ",Utility,Daily,2,Martial,Free,Self,,,"You hit with an arc, burst, or wall weapon attack.",,,,,Each creature you hit takes an additional 5 extra damage.,,,,,,,,,
,Discipline,Starfall,Covering Shot,You protect an ally’s movement through hostile terrain.,Attack,Encounter,3,"Martial, Weapon",Standard,Ranged,"weapon, one creature",,,Dexterity,Reflex,"1dW + Dexterity modifier damage, and the target is immobile and cannot make opportunity attacks until the start of your next turn.",,"If you do not move this turn, the target is rattled until the start of your next turn (this does not require a hit).",,,,,,,,,
,Discipline,Starfall,Eye the Enemy,You quickly ascertain your enemy’s tactics and motives. You taunt them to reveal a weakness.,Attack,Encounter,3,"Martial, Weapon",Free,Self,,,You hit an enemy with a ranged weapon.,,,,,Add your Intelligence modifier to the damage roll of all hits against the target (including the triggering hit) until the start of your next turn.,,,,,,,,Swift,The effect persists until the start of your next turn. You cannot maintain if the target is staggered.
,Discipline,Starfall,Black Sky,"You unleash a hail of arrows so intense, enemies are sent flat on their backs.",Attack,Daily,5,"Martial, Weapon",Standard,Ranged,"5, one, two or three creatures",,,Dexterity,"AC, three attacks","1dW + Dexterity modifier damage, and the target is knocked prone.","Half damage, and the target is knocked prone.",,"If you do not move this turn, on a hit, the target also suffers 5 persistent damage (save ends).",,,,,,,,
,Discipline,Starfall,Standing Barrage,You lay down a rain of arrows against entrenched or approaching foes.,Attack,Daily,5,"Martial, Weapon",Move and Standard,Far,"burst 1 within weapon range, all creatures you can see",,,Dexterity,Reflex,"1dW + Dexterity modifier damage, and the target is immobile until the start of your next turn.",Half damage.,,"If you do not move this turn, on a hit, the target is rattled until the start of your next turn.",,,,,,,Move and Standard,Repeat the attack against the same area.
,Discipline,Starfall,Chain Shots,It almost feels like a game as enemies drop quickly in your path.,Utility,Encounter,6,Martial,Swift,Self,,,,,,,,"Until the end of your next turn, roll twice for every attack roll (using ammunition with each roll) and take the higher result.",,,,,,,,,
,Discipline,Starfall,To the Rescue!,You drop to a knee by a fallen ally and ensure that ally is safe until help arrives.,Utility,Encounter,6,Martial,Standard,Near,"burst 6, one dead, prone, or unconscious ally in burst.",,,,,,,"You shift into the target’s square. Enemies cannot make any ranged or melee attack against the target, and the target gains a +3 power bonus to all defenses against area attacks. The effect ends at the end of your next turn, when the target stands, or when you leave the target’s square, whichever happens first.   ",,,,,,,,Swift,"The effect persists until the end of your next turn, or until the target stands, or until you leave the target’s square, whichever happens first."
,Discipline,Starfall,The Killing Field,You hold your weapon back and wait for the advancing enemy. You have the entire battlefield in your view. ,Attack,Encounter,7,"Martial, Weapon, Zone",Standard,Far,burst 5 within range 20,,,,,,,"You create a zone in the affected area. The zone lasts until the end of your next turn. It is considered difficult terrain, except for you. You can make the following attack against any creature that enters any square of the zone as an opportunity action: 
*Attack:* Dexterity vs AC
*Hit:*  1dW + Dexterity modifier damage",Note that most characters only receive one opportunity action per turn.,,,,,,,Standard,The zone persists until the end of your next turn. You can move the zone to a new area within range as part of this action.
,Discipline,Starfall,Tri-Shot,"To conserve arrows, you control your shots to specific targets rather than shooting chaotically at your foes. ",Attack,Encounter,7,"Martial, Weapon",Standard,Ranged,"weapon, one, two or three creatures",,,Dexterity,"AC, three attacks",1dW + Dexterity modifier damage.,,,,,,,,,,,
,Discipline,Starfall,Distracting Arrow,Your attack is more of a diversion to allow others the opportunity to recover.,Attack,Daily,9,"Martial, Weapon",Swift,Self,,,You hit an enemy with a ranged weapon.,,,,,The target takes 1dW extra damage from the triggering attack. Two allies in line of sight can make saving throws against one condition a save can end.,,,,,,,,,
,Discipline,Starfall,Force Back,A nonstop rain of arrows tracks an assaulting or flanking enemy.,Attack,Daily,9,"Martial, Weapon",Standard,Far,"burst 2 within weapon range, all creatures you can see",,,Dexterity,Reflex,"1dW + Dexterity modifier damage, and the target is immobile until the end of your next turn.",,,"If you do not move this turn, the target is rattled until the start of your next turn whether or not you hit.",,,,,,,Standard,"Repeat the attack. You can shift the barrage up to 3 squares every turn. If you miss all targets in the burst, you can no longer maintain."
,Discipline,Starfall,Machine of Destruction,This is what it all comes down to. You and your weapon. That’s all that matters.,Utility,Encounter,10,Martial,Free,Self,,,,,,,,"Until the end of your next turn, you are immobile and the action required for any basic attack or at-will power is reduced from standard to move, or from move to swift.",,,,,,,,,
,Discipline,Starfall,Battle Position ,Enemies are all around you. You need room to shoot. You wave your bow wildly.,Utility,Daily,10,Martial,Free,Self,,,,,,,,Shift your speed -2. You do not count as having moved for the purpose of powers that get a benefit if you have not moved.,,,,,,,,,
,Discipline,Starfall,Clearing the Room,,Attack,Encounter,13,"Martial, Weapon",Standard,Ranged,"5, one, two or three creatures",,,Dexterity,"AC, three attacks","2dW + Dexterity modifier damage, and the target is pushed 2 squares. If the target cannot be pushed 2 squares, it suffers an additional 1dW damage.",,,"If you do not move this turn, a hit target is pushed 4 squares and suffers additional damage if it cannot be pushed back 4 squares.",,,,,,,,
,Discipline,Starfall,Stacked Volleys,"You launch two identical volleys of arrows, nearly on top of each other. Opponents don’t expect the second one as quickly. ",Attack,Encounter,13,"Martial, Weapon",Standard,Far,"burst 2 within weapon range, all creatures ",,,Dexterity,"Reflex, two attacks per target ","1dW + Dexterity modifier, and the target is dazed until the end of its next turn. If hit twice, the target is dazed (save ends).",,,"If you do not move this turn, gain a +1 bonus to each second attack.",,,,,,,,
,Discipline,Starfall,Tracking Shots,Your first shot guides your second.,Attack,Daily,15,"Consistent, Martial, Weapon",Standard,Ranged,"weapon, one creature",,,Dexterity,AC,"1dW + Dexterity modifier damage.  Make a secondary attack against the same target.
*Secondary Attack:*  Dexterity +2 vs AC
*Hit:*  1dW + Dexterity modifier damage.  Make a tertiary attack against the same target.
*Miss:*  Half damage
*Tertiary Attack:*  Dexterity +4 vs AC
*Hit:*  2dW + Dexterity modifier damage.
",,,,,,,,,,,
,Discipline,Starfall,Wildfire Blitz,You spray arrows across a massive area.,Attack,Daily,15,"Martial, Weapon",Move and Standard,Far,"burst 4 within weapon range, all creatures you can see",,,Dexterity,Reflex,2dW + Dexterity modifier damage.,Half damage.,,,,,,,,,,
,Discipline,Starfall,Bandit’s Yell,You scream loudly as you shake off the damage.,Utility,Encounter,16,"Healing, Martial",No,Self,,,"You are affected by one of the following conditions that a save can end: blinded, dazed, marked, slowed, stunned, or weakened.",,,,,You gain a +5 bonus to the saving throw until you succeed.,,,,,,,,,
,Discipline,Starfall,Toxophilite,,Utility,Encounter,16,Martial,Swift,Self,,,,,,,,"Until the end of your next turn, gain a +1 bonus to attack rolls and a +4 bonus to damage rolls.",,,,,,,,,
,Discipline,Starfall,Flurry of Arrows,You unleash a flurry of arrows towards an enemy.,Attack,Encounter,17,"Martial, Weapon",Standard,Ranged,"weapon, one or two enemies",,,Dexterity,"AC, two attacks",2dW + Dexterity modifier damage,,,"If you do not move this turn, increase damage to 3dW + Dexterity modifier. ",,,,,,,,
,Discipline,Starfall,Mosquito’s Nip,It is hard for your enemies to think of anything but you as you continue to rain steel from the sky.,Attack,Encounter,17,"Martial, Weapon",Move,Self,,,,,,,,"Each enemy you hit with a ranged attack until the end of your next turn is marked until the end of your next turn.  If your marked target makes an attack that does not include you as a target, you gain a +2 bonus to attack rolls and a +4 bonus to damage rolls against the target until the end of your next turn.
",,,,,,,,Move,The effect persists until the end of your next turn.
,Discipline,Starfall,Mindless Mayhem,You send a tsunami of arrows into the enemy.,Attack,Daily,19,"Martial, Weapon",Standard,Ranged,"weapon, one two or three enemies",,,Dexterity,"AC, three attacks","2dW + Dexterity modifier damage, and the target is pushed a number of squares equal to your Intelligence modifier and is weakened until the start of your next turn.",Half damage and the target is weakened until the start of your next turn.,,"If you do not move this turn, you can target up to 4 enemies instead of 3 and make 4 attacks instead of 3; you must target at least two separate creatures. ",,,,,,,,
,Discipline,Starfall,Suppressing Shots,You cover an area with arrows to keep enemies from moving.,Attack,Daily,19,"Martial, Weapon, Zone",Standard and Move,Far,"burst 2 within weapon range, all creatures you can see",,,Dexterity,Reflex,"2dW + Dexterity modifier damage, and the target is slowed (save ends).",,You create a zone in the burst that persists until the start of your next turn. Creatures that enter the zone or start their turns in it take 1dW damage and are slowed (save ends). You use ammunition each time you inflict damage.,"If you do not move this turn, burst 3.",,,,,,,Move,The zone persists until the start of your next turn.
,Discipline,Starfall,New Position,The effectiveness of your current location is in question. You quickly move to better ground.,Utility,Encounter,22,Martial,Free,Self,,,,,,,,Shift your speed.,,,,,,,,,
,Discipline,Starfall,Behemoth-Killer,You relax as you loose the arrow. It’s not like you can miss.,Attack,Encounter,23,"Martial, Weapon",Standard,Far,"burst 5 within weapon range, one Large or larger creature you can see",,,Dexterity +2,AC,3dW + Dexterity modifier damage.,,,"If you do not move this turn, increase to 4dW + Dexterity modifier damage.",,,,,,,,
,Discipline,Starfall,Clear the Ground,"You cut down trees, walls, bushes, and people--anything that gets in your way.",Attack,Encounter,23,"Martial, Weapon",Standard,Far,"burst 5 within weapon range, all creatures you can see",,,Dexterity,Reflex,2dW + Dexterity modifier damage,,"Until the end of the encounter, all difficult terrain in the area is no longer difficult terrain.","If you do not move this turn, 3dW damage",,,,,,,,
,Discipline,Starfall,Cloud of Hellfire,"Your shots pepper the ground, sending up debris, hampering vision and movement.",Attack,Encounter,23,"Martial, Weapon",Move and Standard,Far,"burst 4 within weapon range, all creatures you can see",,,Dexterity,Reflex,2dW + Dexterity modifier damage,,"Until the end of your next turn, the area becomes difficult terrain, except for you, and targets in the area grant combat advantage to anyone outside the area.","If you do not move this turn, burst 5.",,,,,,,Move,The zone persists until the end of your next turn.
,Discipline,Starfall,Cone of Barbs,"You sweep your weapon wide, attacking everything in front of you.",Attack,Daily,25,"Martial, Weapon",Standard,Near,"arc 8, all creatures you can see",,,Dexterity,Reflex,"2dW + Dexterity modifier damage, and the target is knocked prone and dazed until the end of your next turn.","Half damage, and the target is knocked prone and dazed until the end of your next turn.",,"If you do not move this turn, targets in Near arc 3 take 1dW extra damage.",,,,,,,,
,Discipline,Starfall,One on One,Your opponent is a lone creature of incredible power. You aim for this single target and release everything. ,Attack,Daily,25,"Consistent, Martial, Weapon",Standard,Ranged,"weapon, one creature",,,Dexterity,AC,"4dW + Dexterity modifier damage, and the target is stunned until the end of your next turn.",,,"If you do not move this turn, you can reroll all 1s on any damage dice for this power until the result is anything but a 1.",,,,,,,Standard,Repeat the attack against the same target. You cannot maintain if you missed on your previous turn.
,Discipline,Starfall,Overwatch,"You keep a careful eye on an ally or allies from an advantageous position, and wait for enemies to poke out their heads. ",Attack,Daily,25,"Martial, Weapon",Standard,Far,"burst 3 within weapon range, all creatures you can see",,,Dexterity,Reflex,"3dW + Dexterity modifier damage, and the target is stunned until the end of your next turn.",,,"If you do not move this turn, burst 4",,,,,,,Standard,"Repeat the attack against the same area. On a hit, you deal no additional damage but the target is stunned until the end of your next turn."
,Discipline,Starfall,Finish the Job,"After an onslaught of arrows, one target still didn’t fall. You turn your attention and ensure it follows your advice. ",Attack,Encounter,27,"Consistent, Martial, Weapon",Swift,Ranged,"weapon, one creature you hit this round as part of a Far attack",,,Dexterity,AC,3dW + Dexterity modifier damage.,,,"If you do not move this turn, 4dW + Dexterity modifier damage",,,,,,,,
,Discipline,Starfall,Selective Shots,You’ve trained enough to know the difference between friend and enemy. You no longer need to lay down broad volleys of arrows.,Attack,Encounter,27,"Martial, Weapon",Standard,Ranged,"weapon, five creatures, each no more than 3 squares from another target.",,,Dexterity,AC,3dW + Dexterity modifier damage,,The target is dazed until the start of your next turn.,"If you do not move this turn, each target can be no more than 5 squares away from another.",,,,,,,,
,Discipline,Starfall,Fall of Heaven,"You crash the pillars and bring down the sky, raining steel, offloading everything you have.",Attack,Daily,29,"Martial, Weapon",Standard,Ranged,"weapon, all enemies you can see",,,Dexterity,Reflex,"2dW + Dexterity modifier damage, and the target is stunned (save ends).",Half damage.,,"If you do not move this turn, 2dW + Dexterity modifier + Intelligence modifier damage.",,,,,,,,
,Discipline,Starfall,Measured Response,You respond to an attack with a proportionate level of aggression.,Attack,Daily,29,"Martial, Weapon",Standard,Far,"burst 1 within weapon range, all creatures you can see",,,Dexterity,Reflex,4dW + Dexterity modifier damage.,Half damage.,"If the target is staggered before or after the initial damage, it takes an additional 2dW damage.",,,,,,,,,
,Discipline,Strong Bidding,Chapter,,,,0,,,,,,,,,,,,,,Charisma,Wisdom,Spirit,"Sylvan (class), Binds Familiar (kit)","You share a special bond with your companion that allows you to fight as one.

**Note:** “Companion” refers to a familiar, animal companion or summoned creature. Unless otherwise mentioned, your companion must be within line of sight or 20 squares for a Strong Bidding power that uses your companion.",,
,Discipline,Strong Bidding,Companion Strike,,Attack,At-Will,1,"Companion, Spirit",Standard,Special,,,,,,,,Your companion makes a basic melee attack and adds your Charisma modifier to the damage.,,,,,,,,,
,Discipline,Strong Bidding,Side by Side,,Attack,Encounter,1,"Companion, Focus, Spirit",Standard,Melee,"weapon, one creature",,,Charisma,AC,1dW + Charisma modifier damage. ,,Your companion can also move its speed and make a basic melee attack against the same target.,,,,,,,,,
,Discipline,Strong Bidding,Lifelink,,Utility,Daily,2,"Companion, Spirit",Counter,,,,Your companion is hit by an attack.,,,,,"You experience all of the consequences of the hit, instead of your companion. If you are also a target of the attack, you are also affected by it as normal.",,,,,,,,,
,Discipline,Strong Bidding,Share Senses,,Utility,Daily,2,"Companion, Spirit",Swift,,,,,,,,,"Until the end of your next turn, you can use any or all of your companion’s senses as your own, gaining the benefits of any special senses that it has. During this time, you lose any of the senses that you take from your companion, but retain your other senses as normal. For example, you could share your companion’s sight, but keep your hearing.",,**Level 16** This becomes an encounter power.,,,,,,Swift,The effect persists until the end of your next turn. 
,Discipline,Strong Bidding,Familiar Guidance,,Utility,Encounter,6,"Companion, Spirit",Counter,,,,You miss on an at-will or encounter attack,,,,,Reroll the attack and take the second result. ,,,,,,,,,
,Discipline,Strong Bidding,Interfering Companion,,Utility,Encounter,6,"Companion, Spirit",Swift,Self,,,,,,,,"Your companion can flank, if it couldn’t already, until the end of the encounter.  
*Level 11:* You get combat advantage against enemies adjacent to your companion.  
*Level 21:* Enemies adjacent to your companion cannot shift. You get combat advantage against enemies adjacent to your companion.",,,,,,,,,
,Discipline,Strong Bidding,Leap to Companion,,Utility,Encounter,6,"Companion, Spirit, Teleport",Move,Self,,There must be room for you in the space your companion occupies.,,,,,,"Teleport to the space occupied by your companion. If they are a familiar, they are hidden away. If they are a different type of companion, they shift 1 square into an unoccupied space. If there is no eligible space, the companion falls prone in your space.",,,,,,,,,
,Discipline,Strong Bidding,Leaping Intercept,,Utility,Encounter,6,"Companion, Spirit",Counter,,,,Your companion is adjacent to you and you are hit by an attack,,,,,You take half damage from the attack and your companion takes half damage from the attack. ,,,,,,,,,
,Discipline,Strong Bidding,Safeguard Companion,,Attack,Encounter,7,"Companion, Focus, Spirit",Counter,,,,Your companion is the target of an attack from an enemy adjacent to it. ,Charisma,Will,1d8 + Charisma modifier + Intelligence modifier and push the target 2.,,,,,,,,,,,
,Discipline,Strong Bidding,Companion Form,,Utility,Daily,10,"Form, Spirit",Swift,Self,,,,,,,,"You take the form of your companion, including size, source and type, senses and speed. You can also spend one recovery to heal your recovery value. While in this form you cannot use powers unless they have the Wild Shape tag. You can leave this form as a swift action, and you do so automatically if you are reduced to 0 HP or below. Otherwise, it lasts until you take a long rest.",,,,,,,,,
,Discipline,Strong Bidding,Master’s Form,,Utility,Daily,10,"Companion, Spirit, Transmutation",Swift,Ranged,"10, one companion",,,,,,,"Until the end of your next turn, your companion transforms into a humanoid of your race with the same age, gender, and build of its true form, though it always maintains a clearly unnatural remnant of its nature, such as a cat’s eyes or a serpent’s tongue. ",,,,,,,,Swift,The effect persists until the end of your next turn. 
,Discipline,Strong Bidding,Recall Familiar,,Utility,Daily,10,"Companion, Spirit",Counter,,,,Your familiar is hit by an attack.,,,,,Your familiar teleports to your space and is hidden away. ,,,,,,,,,
,Discipline,Strong Bidding,Companion Swarm,,Attack,Daily,19,"Companion, Focus, Spirit",Standard,Far,"burst 1 within range 20 (centered on your companion), all enemies",,,Charisma,Fortitude,4d8 + Charisma modifier damage,,Creates a zone which persists until the end of your next turn. *Swarm Zone:* Enemies that enter the zone or begin their turn in it take 10 damage and are slowed until the start of their next turn. Spend a move action to move the zone up to 2. ,Your companion is removed from play while the zone remains in effect. ,,,,,,,Swift,The zone persists until the end of your next turn. 
,Discipline,Strong Bidding,Enlarge Companion,,Utility,Daily,19,"Companion, Spirit, Transmutation",Swift,Ranged,"10, one companion",,,,,,,"If your companion is smaller than Medium size, it grows to Medium size. If your companion is Medium size or larger, it increases by one size category. Its maximum and current HP are increased by your recovery value. The companion can flank if it could not already. Once per round, as a swift action, the companion can knock an adjacent enemy prone or push it 1 square. You may use a swift action to end the effect; otherwise it lasts until your next long rest.",,,,,,,,,
,Discipline,Third Mind,Chapter,,,,0,,,,,,,,,,,,,,Wisdom,Charisma,Phrenic,Channels Godmind (kit),Your psychic powers allow you to waylay your enemies and clear the minds of your allies. ,,
,Discipline,Third Mind,Blazing Mantle,Your channel the awesome energies of your Godmind and you literally come ablaze with phrenic power.,Attack,At-Will,1,"Augmentable, Focus, Phrenic, Psychic",Standard,Near,"burst 1, all enemies",,,Wisdom,Will,"1d6 + Wisdom modifier psychic damage.
*Level 21:* Increase damage to 2d6 damage + Wisdom modifier.",,,**—Augment:** Push each target a number of squares equal to 1 + Charisma modifier.,,,,,,,,
,Discipline,Third Mind,Gaze of Aeons,"You allow yourself to become the outlet of your Godmind’s phrenic power, reflecting in your eyes that burn with divine energy, jarring an enemy.",Attack,At-Will,1,"Augmentable, Focus, Phrenic, Radiant",Standard,Ranged,"5, one creature",,,Wisdom,Fortitude,"The target grants combat advantage until the end of your next turn. Whenever an ally hits the target with an attack before the end of your next turn, they also deal radiant damage equal to your Charisma modifier.",,,"**—Augment:** As part of the initial attack, also deal 1d6 + Wisdom modifier radiant damage.",,,,,,,,
,Discipline,Third Mind,Unerring Guidance,You ask your Godmind to guide your attacks against an enemy and your blows ring true.,Attack,Encounter,1,"Augmentable, Phrenic, Weapon",Standard,Melee,"weapon, one creature",,,Wisdom +2,AC,2dW and the next ally that attacks the target before the end of your next turn gains a +2 power bonus to their attack roll.,,,"**—Augment:** Add your Charisma modifier to the damage and give all allies +2 to their attack rolls against the target until your next turn, instead of just the next ally.",,,,,,,,
,Discipline,Third Mind,Aura of Painful Clarity,"Your connection to your Godmind extends into a shining aura, empowering all with greater clarity and focus as they attack their enemies. While enemies are within the aura, their vulnerabilities become clear to your allies and your intense focus might burn their minds.",Attack,Daily,1,"Augmentable, Aura, Focus, Phrenic, Psychic",Standard,Near,"burst 1, all creatures",,,,,,,Allies that begin their turn inside the aura gain a +2 power bonus to their next attack roll. Enemies inside the aura have vulnerability to all damage 2.,"**—Augment:** As a standard action, make a Wisdom vs Will attack against each enemy inside the aura. Hit: 1d6 + your Charisma modifier psychic damage.",,,,,,,,
,Discipline,Third Mind,Surging Meditation,"You meditate, entering a state of mental clarity that allows you to heal yourself or an ally, while at the same time refreshing their mind.",Utility,Daily,2,"Augmentable, Healing, Phrenic",Standard,Near,"burst 10, you or one ally",,,,,,,The target may spend one recovery and one focus surge.,**—Augment:** This power is not expended when used.,,,,,,,,
,Discipline,Third Mind,Strike the Weakened Mind,"You wield your weapon in a blazing arc and as you hit, you shatter both their physical and mental selves.",Attack,Encounter,3,"Augmentable, Phrenic, Weapon",Standard,Melee,"weapon, one creature",,,Wisdom,AC,2dW + Wisdom modifier damage. The target also loses any psi focus they had (refresh as if spent on a daily) and takes a -2 penalty to their Will defense until the end of their next turn.,,,"**—Augment:** Before making the attack roll, this power gains the Consistent tag.",,,,,,,,
,Discipline,Third Mind,Siphon the Soul,"You intertwine the souls and minds of one enemy and an ally of yours, siphoning away the energy of one to heal the other.",Attack,Daily,5,"Augmentable, Focus, Healing, Phrenic, Psychic",Standard,Ranged,"10, one creature",,,Wisdom,Will,2d10 + Wisdom modifier psychic damage and the target is dazed (save ends).,,One ally within 10 may spend a recovery.,**—Augment:** Give the target a penalty on saves against the dazed condition equal to your Charisma modifier.,,,,,,,,
,Discipline,Third Mind,Aura of Mending,"Your aura shines forth, powered by the connection to your godmind. Allies nearby regain their health and you can guide them into drawing upon inner resources.",Utility,Daily,6,"Augmentable, Aura, Healing, Phrenic",Swift,Near,"burst 2, all allies",,,,,,,"Every ally inside the aura at the start of their turn gains regeneration 1. While this aura is in place, you may, as a standard action, spend your *psi focus* to enable an ally within the aura to spend a recovery. Expending your *psi focus* in this fashion makes it refresh as after having used an encounter power.",**—Augment:** Add your Charisma modifier to the number of hit points regained each time yourself or an ally within the aura spends a recovery.,,,,,,,,
,Discipline,Third Mind,Unveiling the Godmind,"You stretch out your hand, creating a bridge between your godmind’s unbridled energy and the mind of a lesser creature, burning their mind and body to cinders.",Attack,Encounter,7,"Augmentable, Fear, Focus, Phrenic, Psychic",Standard,Melee,"touch, one creature",,,Wisdom,Fortitude,"3d6 + your Wisdom modifier psychic damage, push the target 1 square and the target is restrained until the end of your next turn.",,,**—Augment:** Add your Charisma as a power bonus to both the attack and the damage roll.,,,,,,,,
,Discipline,Third Mind,Consumption of the Sinful,"Reaching forth into the mind of your enemy, you unleash their darkest sins and give them form, haunting your enemy while aiding your allies in combat.",Attack,Daily,9,"Augmentable, Conjuration, Focus, Phrenic, Psychic",Standard,Ranged,"10, one creature",,,Wisdom,Will,2d10 + Wisdom modifier psychic damage.,,"You conjure a vile manifestation of your enemy’s darkest sins in a square adjacent to the target. The manifestation exists until the end of your next turn. You can move the manifestation as a move action, using the same speed as the target. If the manifestation is adjacent to the target, the target grants combat advantage and gains vulnerability to all damage 5.",**—Augment:** The target receives a penalty equal to your Charisma modifier to attack rolls (save ends).,,,,,,,Swift,The manifestation exists until the end of your next turn.
,Discipline,Third Mind,Aura of Psychic Vengeance,"You meditate for a short while before your aura blooms out around you, allowing your mind to become as one with your allies, aiding their attacks.",Utility,Daily,10,"Augmentable, Aura, Phrenic",Standard,Near,"burst 2, all allies",,,,,,,Each ally who starts their turn inside the aura gains a power bonus equal to your Charisma modifier to their attack rolls until the end of their turn.,**—Augment:** Each ally heals hit points equal to your Charisma modifier each time they begin their turn within the aura.,,,,,,,,
,Discipline,Veiled Moon,Chapter,,,,0,,,,,,,,,,,,,,Intelligence,Dexterity,Arcane,Mageblade (class),"You pass through worlds, delivering attacks from impossible vantage points.",,
,Discipline,Veiled Moon,Dimensional Strike,"By shifting slightly between two worlds, you confuse the senses of your foe so you may land your attack more easily. ",Attack,At-Will,1,"Arcane, Weapon",Standard,Melee or Ranged,"weapon, one target",,,Intelligence,Reflex,"1dW + Intelligence modifier damage. 
*Level 21:* 2dW + Intelligence modifier damage.",,,,,,,,,,,
,Discipline,Veiled Moon,Disturbing Blow,"By establishing counter-resonance within the spirit of an enemy with a well-placed blow, you may disrupt and disturb its next action.",Attack,Encounter,1,"Arcane, Weapon",Standard,Melee,"weapon, one target",,,Intelligence,AC,"1dW + Intelligence modifier damage. The creature grants combat advantage to the next attack against it, provided that attack occurs before the end of your next turn.",,,,,,,,,,,
